frame,delay,model,name,conf
39,0.909325,5t_e,adrian,5077.515121333405
40,0.92021,5t_e,adrian,5445.971606391608
41,0.887993,5t_e,robin,3477.564654542478
42,0.892358,5t_e,robin,3595.9464116906156
43,0.909361,5t_e,robin,6552.036394811491
0,1.002221,n1t_e,,
1,1.186092,n1t_e,,
2,1.107768,n1t_e,,
3,0.935214,n1t_e,,
4,0.925614,n1t_e,,
5,0.968264,n1t_e,david,6023.903452732094
6,0.903768,n1t_e,serena,11028.390016487041
7,0.908381,n1t_e,serena,9439.723632892319
8,0.913245,n1t_e,serena,9286.211097665
9,0.926922,n1t_e,david,7583.877382495279
10,0.932779,n1t_e,david,7564.964433960753
11,0.896939,n1t_e,,
12,0.899133,n1t_e,,
13,0.892141,n1t_e,serena,9933.289495512525
14,0.904911,n1t_e,serena,10290.582456875149
15,0.909048,n1t_e,serena,10145.43555632291
16,0.924288,n1t_e,robin,10539.0909299625
17,0.919628,n1t_e,robin,10713.696875721436
18,0.877805,n1t_e,mahesh,10994.231818701262
19,0.909365,n1t_e,,
20,0.921739,n1t_e,robin,10520.30228613233
21,0.921969,n1t_e,robin,9251.9486203582
22,0.911447,n1t_e,robin,8817.96915846292
23,0.936368,n1t_e,robin,9294.985762725462
24,0.911192,n1t_e,robin,10286.062637800584
25,0.906197,n1t_e,robin,9758.379971165607
26,0.90348,n1t_e,,
27,0.934089,n1t_e,,
28,0.973205,n1t_e,david,10110.403317472978
29,0.933127,n1t_e,serena,9384.887744858464
30,0.936318,n1t_e,serena,6855.761603353138
31,0.928404,n1t_e,serena,7073.506294765113
32,0.898077,n1t_e,serena,7289.96022298043
33,0.908353,n1t_e,serena,7537.138339153113
34,0.878528,n1t_e,,
35,0.922089,n1t_e,,
36,0.888652,n1t_e,,
37,0.894882,n1t_e,serena,10118.864260049915
38,0.928289,n1t_e,serena,10933.627285317472
39,1.029884,n1t_e,serena,10173.797050289244
40,1.011331,n1t_e,serena,10278.640090392986
41,0.921465,n1t_e,david,11095.567142605383
42,0.873679,n1t_e,adrian,9754.239195554914
43,0.879762,n1t_e,adrian,9611.286552138265
0,1.121629,n2t_e,,
1,1.247474,n2t_e,,
2,1.151576,n2t_e,serena,8522.516689676653
3,0.985138,n2t_e,serena,7997.065273394693
4,0.925813,n2t_e,serena,7950.71029482369
5,0.913148,n2t_e,robin,8595.635797178978
6,0.921554,n2t_e,robin,6597.668828088738
7,0.910913,n2t_e,,
8,0.903507,n2t_e,,
9,0.906607,n2t_e,,
10,0.934004,n2t_e,,
11,0.905431,n2t_e,serena,9708.418938775296
12,0.890463,n2t_e,serena,9967.452949688412
13,0.889185,n2t_e,robin,10236.883729389185
14,0.909432,n2t_e,mahesh,10736.01499396832
15,0.929431,n2t_e,,
16,0.9055,n2t_e,serena,9412.043393715509
17,0.931424,n2t_e,robin,8887.835529854063
18,0.906254,n2t_e,robin,9873.155557720549
19,0.921363,n2t_e,robin,8982.847162847705
20,0.930102,n2t_e,robin,8632.49589788563
21,0.909237,n2t_e,robin,8515.164682782957
22,0.889767,n2t_e,,
23,0.909034,n2t_e,,
24,0.932744,n2t_e,serena,8073.505173392684
25,0.890175,n2t_e,serena,6512.170317711209
26,0.87482,n2t_e,serena,7171.981556500092
27,0.908044,n2t_e,serena,6152.728263373751
28,0.903752,n2t_e,serena,6933.030914052425
29,0.915187,n2t_e,serena,5615.08880146591
30,0.863921,n2t_e,,
31,0.889287,n2t_e,,
32,0.906141,n2t_e,,
33,0.921775,n2t_e,serena,8786.984046752688
34,0.90736,n2t_e,serena,10377.813869281295
35,0.923815,n2t_e,serena,8495.362178619982
36,0.918903,n2t_e,serena,7847.347471169551
37,0.890406,n2t_e,serena,9118.50436457279
38,0.941482,n2t_e,adrian,9276.681765569861
39,0.940422,n2t_e,serena,10946.197574171689
40,0.904636,n2t_e,serena,11185.360416861475
0,1.038666,n5t_e,,
1,1.264558,n5t_e,,
2,1.051956,n5t_e,david,6756.313087880432
3,0.923214,n5t_e,serena,5268.940026251758
4,0.908588,n5t_e,serena,5520.2163287841995
5,0.893807,n5t_e,serena,6108.556422841672
6,0.908928,n5t_e,serena,3359.822316617243
7,0.910337,n5t_e,mahesh,6752.914583188726
8,0.941343,n5t_e,,
9,0.910809,n5t_e,,
10,0.935621,n5t_e,,
11,0.92227,n5t_e,,
12,0.879089,n5t_e,serena,6550.082407041575
13,0.914092,n5t_e,serena,5974.135628602934
14,0.949194,n5t_e,serena,6480.976836180411
15,0.915385,n5t_e,serena,7778.3809587293845
16,0.949799,n5t_e,serena,7316.910790841828
17,0.925234,n5t_e,serena,8852.118476379454
18,0.882464,n5t_e,,
19,0.880475,n5t_e,serena,6550.9876398475035
20,0.918217,n5t_e,serena,7159.901279791289
21,0.90184,n5t_e,serena,6377.489478672995
22,0.893854,n5t_e,serena,6057.594859370542
23,0.894222,n5t_e,serena,6651.100552525755
24,0.938871,n5t_e,serena,6019.965605748816
25,0.909154,n5t_e,,
26,0.877804,n5t_e,,
27,0.895885,n5t_e,,
28,0.880896,n5t_e,serena,6079.687696072482
29,0.925392,n5t_e,serena,4461.314508972857
30,0.893741,n5t_e,serena,2605.163552831501
31,0.878928,n5t_e,serena,4713.547865250725
32,0.919092,n5t_e,serena,4390.12213084785
33,0.908624,n5t_e,serena,5671.6740781080825
34,0.905425,n5t_e,,
35,0.872982,n5t_e,,
36,0.888477,n5t_e,,
37,0.886575,n5t_e,,
38,0.889521,n5t_e,serena,5123.1071037349675
39,0.892085,n5t_e,serena,6162.113455548032
40,0.902066,n5t_e,serena,5230.045563800349
41,0.875312,n5t_e,serena,6109.996463346598
42,0.906876,n5t_e,serena,3686.369627436695
43,0.898007,n5t_e,serena,2686.6403628646667
44,0.928494,n5t_e,serena,4123.7887701686595
45,0.939192,n5t_e,serena,4377.944695650824
0,1.045782,1t_l,mahesh,63.7855682328514
1,1.186049,1t_l,,
2,1.248257,1t_l,,
3,0.917558,1t_l,mahesh,91.75192840440714
4,0.93311,1t_l,robin,84.33164788362167
5,0.939249,1t_l,mahesh,83.26419621063448
6,0.931535,1t_l,robin,81.72960016635236
7,0.927395,1t_l,adrian,70.67952085243827
8,0.931603,1t_l,,
9,0.940549,1t_l,,
10,1.056031,1t_l,,
11,0.956178,1t_l,,
12,0.891889,1t_l,,
13,0.893232,1t_l,,
14,0.946849,1t_l,,
15,0.89647,1t_l,,
16,0.935629,1t_l,mahesh,82.33060474454659
17,0.894183,1t_l,mahesh,78.07139062185296
18,0.920431,1t_l,mahesh,69.34620456683372
19,0.910516,1t_l,mahesh,64.0614889967179
20,0.897719,1t_l,mahesh,64.36772609355751
21,0.910356,1t_l,mahesh,64.09245758925597
22,0.924677,1t_l,adrian,72.12931478241542
22,0.924677,1t_l,mahesh,75.01765113361164
23,0.89232,1t_l,mahesh,59.31496940811521
24,0.892039,1t_l,mahesh,70.7713307540934
25,0.923546,1t_l,,
26,0.903077,1t_l,robin,83.76715669345418
27,0.959017,1t_l,robin,70.43630086271475
28,0.92648,1t_l,robin,70.4682085576704
29,0.940084,1t_l,robin,61.42696180242329
30,0.934632,1t_l,robin,69.37024603112036
31,0.903825,1t_l,,
32,0.907588,1t_l,,
33,0.906108,1t_l,,
34,0.894545,1t_l,serena,82.578518400348
35,0.895645,1t_l,serena,75.91062163879398
36,0.879284,1t_l,serena,71.51389780432929
37,0.908887,1t_l,serena,72.99174278836277
38,0.88747,1t_l,adrian,75.43212832588641
39,0.891941,1t_l,,
40,0.882467,1t_l,mahesh,111.50892294845579
41,0.89709,1t_l,david,120.89742270018728
42,0.915681,1t_l,robin,78.42527354905172
43,0.941462,1t_l,robin,80.3224335880525
44,0.90782,1t_l,adrian,67.65528932263038
45,0.925178,1t_l,robin,68.86320851373331
46,0.920974,1t_l,adrian,63.429936470779936
47,0.924384,1t_l,mahesh,64.07770760263
0,1.031064,2t_l,,
1,1.399018,2t_l,,
2,1.279058,2t_l,mahesh,103.90148024650891
3,0.935624,2t_l,mahesh,87.9881521346081
4,0.924916,2t_l,robin,80.85944955510575
5,0.924866,2t_l,robin,75.40865237849928
6,0.907277,2t_l,robin,71.6544907747147
7,0.895088,2t_l,robin,63.74261213399828
8,0.907638,2t_l,,
9,0.906902,2t_l,,
10,0.89196,2t_l,adrian,106.10742620557755
11,0.905183,2t_l,mahesh,92.62542184985723
12,0.906076,2t_l,,
13,0.912735,2t_l,mahesh,74.51523569617424
14,0.89541,2t_l,mahesh,79.19161358734489
15,0.89498,2t_l,mahesh,65.38108112776473
16,0.914485,2t_l,mahesh,56.64661725708604
17,0.906954,2t_l,mahesh,60.232384412424864
18,0.893409,2t_l,,
19,0.903738,2t_l,,
20,0.908109,2t_l,robin,83.66235134086739
21,0.957773,2t_l,robin,76.07965696760355
22,0.887794,2t_l,robin,61.61334881374584
23,0.959053,2t_l,robin,56.672699365587754
24,0.921829,2t_l,robin,67.0731581804583
25,0.920276,2t_l,adrian,96.79268121779148
26,0.900991,2t_l,adrian,92.56111067987416
27,0.910658,2t_l,serena,79.9505855231241
28,0.927552,2t_l,serena,74.91342675132195
29,0.913433,2t_l,serena,78.14471481624388
30,0.910972,2t_l,serena,69.09795281605997
31,0.881179,2t_l,serena,73.3441871885825
32,0.892063,2t_l,adrian,86.80544533347498
33,0.910383,2t_l,adrian,96.0987045544417
34,0.896823,2t_l,adrian,86.43592632617661
35,0.906846,2t_l,adrian,77.44047030791296
36,0.905353,2t_l,adrian,72.16515786412295
37,0.895707,2t_l,robin,73.31250470962233
38,0.898647,2t_l,robin,67.02528789678313
39,0.921741,2t_l,adrian,65.01858934713023
40,0.898592,2t_l,adrian,60.926630466899184
0,1.098132,5t_l,adrian,69.99582134697339
1,1.230786,5t_l,,
2,1.181118,5t_l,,
3,0.956547,5t_l,david,85.41108540670378
4,0.942413,5t_l,david,77.67350117947784
5,0.957956,5t_l,david,71.16807744522515
6,0.919589,5t_l,david,67.04618959378645
7,0.956372,5t_l,david,61.43098201048347
8,0.974732,5t_l,,
9,0.925443,5t_l,,
10,0.941181,5t_l,,
11,0.923813,5t_l,adrian,85.09304300588286
12,0.944449,5t_l,mahesh,72.21863983854735
13,0.920314,5t_l,mahesh,69.05998966270414
14,0.939329,5t_l,mahesh,57.85344317364013
15,0.918303,5t_l,mahesh,58.23715787784522
16,0.89275,5t_l,,
17,0.933969,5t_l,robin,85.6919375874591
18,0.903284,5t_l,robin,72.17102069652417
19,0.90731,5t_l,robin,69.43572160763854
20,0.951159,5t_l,robin,63.57316977171891
21,0.996608,5t_l,robin,61.324751061929405
22,0.967837,5t_l,robin,61.854106665594564
23,0.905958,5t_l,,
24,0.923821,5t_l,adrian,98.99841277899857
25,0.911524,5t_l,serena,77.7737559744337
26,0.92757,5t_l,adrian,88.39110693822046
27,0.934923,5t_l,serena,81.7768299971536
28,0.939265,5t_l,serena,79.24958052908194
29,0.908836,5t_l,mahesh,72.08366699080429
30,0.934987,5t_l,mahesh,61.73298832069351
31,0.903048,5t_l,mahesh,56.62393261588202
32,0.911495,5t_l,adrian,78.77003452108397
33,0.914464,5t_l,,
34,0.89732,5t_l,,
35,0.896784,5t_l,,
36,0.890405,5t_l,,
37,0.890941,5t_l,,
38,0.895788,5t_l,adrian,85.62638486682536
39,0.939967,5t_l,adrian,78.54532746903917
40,0.92338,5t_l,adrian,74.4760169667486
41,0.906094,5t_l,adrian,73.8687903416745
42,0.910351,5t_l,robin,69.43856937511886
43,0.915118,5t_l,adrian,54.546232709053484
0,1.19933,n1t_l,serena,104.92047782640728
1,1.258892,n1t_l,,
2,1.078604,n1t_l,,
3,0.894665,n1t_l,serena,117.42590041826803
4,0.901442,n1t_l,serena,115.92119812662304
5,0.89105,n1t_l,serena,108.45219052369478
6,0.920444,n1t_l,serena,97.11598845133335
7,0.903988,n1t_l,serena,95.69935367682618
8,0.910451,n1t_l,serena,87.21043560197378
9,0.889075,n1t_l,,
10,0.893386,n1t_l,,
11,0.923795,n1t_l,robin,124.99544394536488
12,0.957576,n1t_l,mahesh,102.74999199231073
